City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Deputatskiy,RU,2022-06-13 18:14:44,69.3,139.9,50.97,60,70,5.23
68,Glace Bay,CA,2022-06-13 18:14:22,46.1969,-59.957,66.78,83,96,5.01
69,Katsuura,JP,2022-06-13 18:14:45,35.1333,140.3,64.33,77,100,13.06
70,Egvekinot,RU,2022-06-13 18:14:45,66.3167,-179.1667,32.4,64,59,7.94
71,New Norfolk,AU,2022-06-13 18:14:45,-42.7826,147.0587,42.3,86,70,3.22
72,Jinchang,CN,2022-06-13 18:14:46,38.4953,102.1739,70.34,12,0,5.19
73,Tuktoyaktuk,CA,2022-06-13 18:14:46,69.4541,-133.0374,35.6,93,75,9.22
74,Bara,NG,2022-06-13 18:14:46,10.3744,10.7288,88.81,46,87,4.63
75,Moindou,NC,2022-06-13 18:14:47,-21.6924,165.677,71.2,85,100,8.19
76,Karlstad,SE,2022-06-13 18:14:47,59.3793,13.5036,64.96,36,90,11.5
77,Ejido,VE,2022-06-13 18:14:47,8.5514,-71.2375,77.76,70,64,4.83
78,Bluff,NZ,2022-06-13 18:14:47,-46.6,168.3333,45.81,74,100,36.6
79,Port Alfred,ZA,2022-06-13 18:14:48,-33.5906,26.891,74.84,40,100,13.6
80,Celestun,MX,2022-06-13 18:14:48,20.8667,-90.4,88.59,58,83,12.26
81,Ponta Do Sol,PT,2022-06-13 18:14:48,32.6667,-17.1,72.01,69,35,4.72
82,Bengkulu,ID,2022-06-13 18:14:49,-3.8004,102.2655,75.88,88,97,3.96
83,Bredasdorp,ZA,2022-06-13 18:14:49,-34.5322,20.0403,57.43,76,100,4.27
84,Saldanha,ZA,2022-06-13 18:14:49,-33.0117,17.9442,58.21,90,97,15.14
85,Kozienice,PL,2022-06-13 18:14:50,51.5829,21.5478,58.03,19,100,9.37
86,Sri Aman,MY,2022-06-13 18:14:50,1.2376,111.4621,71.82,99,100,1.86
87,Kozhevnikovo,RU,2022-06-13 18:14:50,56.2589,83.9714,62.26,89,36,2.53
88,Nelson Bay,AU,2022-06-13 18:14:51,-32.7167,152.15,44.1,95,0,5.86
89,Alenquer,BR,2022-06-13 18:14:51,-1.9417,-54.7383,85.62,62,40,1.36
90,Aasiaat,GL,2022-06-13 18:14:51,68.7098,-52.8699,33.87,73,87,15.64
91,Teya,RU,2022-06-13 18:14:51,60.3778,92.6267,55.51,96,41,4.47
92,Yellowknife,CA,2022-06-13 18:13:30,62.456,-114.3525,62.56,63,23,8.99
93,Ribeira Grande,PT,2022-06-13 18:14:52,38.5167,-28.7,68.4,68,20,16.11
94,Faya,SA,2022-06-13 18:15:52,18.3851,42.4509,77.11,45,17,4.09
95,Victoria,HK,2022-06-13 18:12:41,22.2855,114.1577,84.38,87,100,11.99
96,Kewanee,US,2022-06-13 18:15:52,41.2456,-89.9248,91.47,73,100,18.03
97,Grindavik,IS,2022-06-13 18:15:53,63.8424,-22.4338,53.55,100,100,20.71
98,Kota Belud,MY,2022-06-13 18:15:53,6.351,116.4305,75.61,92,62,4.21
99,Cayenne,GF,2022-06-13 18:15:53,4.9333,-52.3333,86.04,9,75,10.36
100,Sao Joao Da Barra,BR,2022-06-13 18:12:27,-21.6403,-41.0511,77.09,53,100,14.05
101,Puri,IN,2022-06-13 18:15:54,19.8,85.85,84.72,85,93,12.5
102,Severo-Yeniseyskiy,RU,2022-06-13 18:15:54,60.3725,93.0408,52.32,95,49,5.14
103,Iqaluit,CA,2022-06-13 18:15:54,63.7506,-68.5145,44.33,75,75,5.75
104,Wasilla,US,2022-06-13 18:14:13,61.5814,-149.4394,62.53,60,0,5.75
105,Acari,PE,2022-06-13 18:15:55,-15.4311,-74.6158,75.88,47,50,8.39
106,Tasiilaq,GL,2022-06-13 18:15:55,65.6145,-37.6368,35.76,96,100,13.89
107,Gat,IL,2022-06-13 18:15:55,31.61,34.7642,74.08,100,0,6.76
108,Mumford,GH,2022-06-13 18:15:55,5.2618,-0.759,79.27,78,48,12.12
109,Tocopilla,CL,2022-06-13 18:15:56,-22.092,-70.1979,66.69,64,23,4.88
110,Korsakovo,RU,2022-06-13 18:15:56,53.2677,37.3569,63.54,84,19,2.24
111,Santa Vitoria Do Palmar,BR,2022-06-13 18:15:56,-33.5189,-53.3681,60.1,70,14,3.49
112,Tilichiki,RU,2022-06-13 18:15:57,60.4667,166.1,43.54,71,81,4.85
113,Leningradskiy,RU,2022-06-13 18:15:57,69.3833,178.4167,33.21,86,100,9.69
114,Saint-Philippe,RE,2022-06-13 18:15:57,-21.3585,55.7679,69.39,75,58,15.37
115,Pekin,CN,2022-06-13 18:14:21,39.9075,116.3972,64.29,77,88,3.27
116,Cidreira,BR,2022-06-13 18:15:57,-30.1811,-50.2056,60.08,76,69,9.33
117,Thompson,CA,2022-06-13 18:15:58,55.7435,-97.8558,77.16,29,40,6.91
118,College,US,2022-06-13 18:15:58,64.8569,-147.8028,63.21,57,40,5.75
119,Puerto Ayora,EC,2022-06-13 18:15:58,-0.7393,-90.3518,78.76,84,71,5.01
120,Beyneu,KZ,2022-06-13 18:15:58,45.3167,55.2,82.42,26,45,17.58
121,Kruisfontein,ZA,2022-06-13 18:15:59,-34.0033,24.7314,60.89,44,100,5.12
122,Port Elizabeth,ZA,2022-06-13 18:15:59,-33.918,25.5701,64.31,63,0,3.44
123,Ossora,RU,2022-06-13 18:15:59,59.2353,163.0719,44.98,83,97,5.06
124,Hinton,CA,2022-06-13 18:13:13,53.4001,-117.5857,50.04,90,99,2.37
125,Viseu,PT,2022-06-13 18:12:22,40.661,-7.9097,88.86,34,57,8.32
126,Sinnamary,GF,2022-06-13 18:16:00,5.3833,-52.95,82.11,76,70,5.77
127,Dingle,PH,2022-06-13 18:16:00,10.9995,122.6711,77.25,87,100,2.57
128,Vari,GR,2022-06-13 18:16:00,37.8312,23.8081,83.71,41,20,12.66
129,Bandar-E Lengeh,IR,2022-06-13 18:16:01,26.5579,54.8807,91.51,66,0,4.61
130,Albany,US,2022-06-13 18:11:53,42.6001,-73.9662,82.17,51,51,3.0
131,Nuuk,GL,2022-06-13 18:16:01,64.1835,-51.7216,36.21,75,75,13.8
132,Sibolga,ID,2022-06-13 18:16:01,1.7427,98.7792,74.93,94,100,3.78
133,Klaksvik,FO,2022-06-13 18:16:02,62.2266,-6.589,50.92,96,100,11.18
134,Gobabis,NA,2022-06-13 18:16:02,-22.45,18.9667,59.31,34,0,10.36
135,Sumbe,AO,2022-06-13 18:16:03,-11.2061,13.8437,72.23,82,20,3.74
136,Tamandare,BR,2022-06-13 18:16:03,-8.7597,-35.1047,80.8,71,15,6.02
137,Derzhavinsk,KZ,2022-06-13 18:16:04,51.1,66.3167,56.05,82,31,17.49
138,Mahebourg,MU,2022-06-13 18:16:04,-20.4081,57.7,73.69,68,75,19.57
139,Nabire,ID,2022-06-13 18:17:04,-3.3667,135.4833,74.95,93,84,3.69
140,Maceio,BR,2022-06-13 18:17:05,-9.6658,-35.7353,83.64,65,75,11.5
141,Lake Charles,US,2022-06-13 18:17:05,30.2131,-93.2044,94.01,56,40,13.8
142,Nador,MA,2022-06-13 18:17:06,35.174,-2.9287,78.87,78,20,3.44
143,Pacific Grove,US,2022-06-13 18:17:06,36.6177,-121.9166,71.28,71,0,13.0
144,Torbay,CA,2022-06-13 18:13:11,47.6666,-52.7314,57.88,80,100,3.0
145,Lagoa,PT,2022-06-13 18:17:07,39.05,-27.9833,62.87,78,10,12.19
146,Shimoda,JP,2022-06-13 18:17:07,34.6667,138.95,61.11,82,100,16.53
147,Les Cayes,HT,2022-06-13 18:12:34,18.2,-73.75,87.69,59,100,13.58
148,Bilibino,RU,2022-06-13 18:17:08,68.0546,166.4372,52.12,34,50,3.58
149,Harrisonburg,US,2022-06-13 18:15:39,38.4496,-78.8689,88.59,60,38,1.45
150,Zhuzhou,CN,2022-06-13 18:17:08,27.8333,113.15,73.53,98,100,3.44
151,Hambantota,LK,2022-06-13 18:17:09,6.1241,81.1185,80.1,82,46,16.42
152,Port Shepstone,ZA,2022-06-13 18:17:09,-30.7414,30.455,68.65,55,71,5.75
153,Harper,LR,2022-06-13 18:17:10,4.375,-7.7169,79.72,65,76,6.24
154,Castro,BR,2022-06-13 18:17:10,-24.7911,-50.0119,59.7,52,0,4.45
155,Pisco,PE,2022-06-13 18:17:10,-13.7,-76.2167,61.02,88,100,8.05
156,Nadym,RU,2022-06-13 18:17:11,65.5333,72.5167,47.08,74,44,19.33
157,Vostok,RU,2022-06-13 18:17:11,46.4856,135.8833,47.88,83,24,3.98
158,Khani,GE,2022-06-13 18:17:12,41.9563,42.9566,63.97,98,98,2.08
159,Ipixuna,BR,2022-06-13 18:17:13,-1.7625,-48.8043,88.23,55,17,2.42
160,Gubkinskiy,RU,2022-06-13 18:17:13,64.434,76.5026,64.33,66,100,6.76
161,Guerrero Negro,MX,2022-06-13 18:12:39,27.9769,-114.0611,70.68,64,53,15.01
162,Sobolevo,RU,2022-06-13 18:17:14,54.4299,31.8996,59.68,82,61,4.12
163,Along,IN,2022-06-13 18:17:14,28.1667,94.7667,71.76,98,99,0.6
164,Narsaq,GL,2022-06-13 18:17:15,60.9167,-46.05,52.02,43,3,4.09
165,Laguna,US,2022-06-13 18:17:15,38.421,-121.4238,78.3,29,0,14.97
166,Nara,JP,2022-06-13 18:15:08,34.6851,135.8049,70.92,61,100,9.13
167,Tiksi,RU,2022-06-13 18:17:16,71.6872,128.8694,44.24,69,100,1.86
168,Kamenka,RU,2022-06-13 18:17:17,51.3223,42.7678,64.56,50,41,7.7
169,Biak,ID,2022-06-13 18:17:17,-0.9131,122.8766,75.69,84,39,6.69
170,Carutapera,BR,2022-06-13 18:17:18,-1.195,-46.02,83.75,70,14,8.05
171,Dunedin,NZ,2022-06-13 18:13:57,-45.8742,170.5036,50.81,52,31,5.99
172,Svetlaya,RU,2022-06-13 18:17:19,46.5389,138.3297,48.97,82,1,3.36
173,Oktyabrskiy,RU,2022-06-13 18:17:20,54.4815,53.471,53.42,81,2,3.2
174,Esperance,AU,2022-06-13 18:17:20,-33.8667,121.9,59.65,80,86,23.44
175,Urucara,BR,2022-06-13 18:17:21,-2.5364,-57.76,82.24,78,89,1.59
176,Vallenar,CL,2022-06-13 18:17:21,-28.5708,-70.7581,72.09,28,62,4.36
177,Chokurdakh,RU,2022-06-13 18:17:22,70.6333,147.9167,60.91,33,0,8.66
178,Chitrakonda,IN,2022-06-13 18:17:23,18.1167,82.0833,81.82,63,33,1.25
179,Atar,MR,2022-06-13 18:17:23,20.5169,-13.0499,101.61,18,61,10.16
180,Hami,CN,2022-06-13 18:17:23,42.8,93.45,87.03,6,1,6.8
