City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
295,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
296,Coroisanmartin,RO,71.31,few clouds,46.4,24.6,Fân FLOSS
297,Nizwa,OM,85.73,scattered clouds,22.9333,57.5333,Orient Apartments
301,Bozoum,CF,73.94,light rain,6.3193,16.3799,
303,Rigaud,CA,78.35,few clouds,45.4793,-74.3024,Motel Belair
304,Thompson,CA,77.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
306,Honghu,CN,74.95,broken clouds,29.8206,113.4621,文泉花园酒店
307,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
309,Chernyy Yar,RU,75.15,overcast clouds,48.0624,46.1091,Stanitsa Chernoyarskaya
311,Pir,RO,73.35,broken clouds,47.4667,22.3667,
313,Ulu Tiram,MY,82.26,few clouds,1.6,103.8167,Dajie Avenue Hotel
314,Fethiye,TR,76.87,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
315,Pacific Grove,US,74.41,clear sky,36.6177,-121.9166,Lovers Point Inn
316,Fukue,JP,70.09,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
319,Palu,ID,75.58,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
320,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
322,Touros,BR,83.41,clear sky,-5.1989,-35.4608,INN NEW HORIZON
323,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
325,Palmer,US,79.43,scattered clouds,42.1584,-72.3287,Wedgewood Motel
327,Rantauprapat,ID,73.63,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
330,Davila,PH,81.7,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
333,Muros,ES,81.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
334,Tongchuan,CN,74.35,clear sky,35.0806,109.0897,Tongchuan Hotel
337,Lagoa Santa,BR,75.42,clear sky,-19.6272,-43.8897,Hotel Lund
341,Cap Malheureux,MU,73.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
344,Nuevo Progreso,MX,78.85,light rain,23.1667,-97.95,Balneario Rio el Paraiso
345,Kaspiyskiy,RU,74.16,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
346,Mayskiy,RU,80.01,overcast clouds,47.6931,40.1025,Dio Lakrua
349,Lodja,CD,80.71,broken clouds,-3.4833,23.4333,
351,Sarab,IR,77.41,scattered clouds,38.6066,44.9883,مسجد امام رضا
352,Biltine,TD,83.86,light rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
356,Torit,SS,76.32,light rain,4.4133,32.5678,Diplomat Guest House
358,Nargana,PA,80.74,overcast clouds,9.4428,-78.5906,Dubbir
360,Yei,SS,71.01,light rain,4.095,30.6779,Twins Hotel Yei
362,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
364,Waw,SS,83.35,overcast clouds,7.7029,27.9953,Universal Gab Hotel
370,Jieshi,CN,78.84,light rain,22.8134,115.8257,Yuehai Hotel
372,Saint-Leu,RE,73.31,broken clouds,-21.15,55.2833,La Caz Oceane
373,Miandrivazo,MG,74.95,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
374,Puerto Ayacucho,VE,72.03,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
375,Pio Xii,BR,85.69,few clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
378,Isangel,VU,74.43,broken clouds,-19.55,169.2667,Tanna Lodge
379,Batocina,RS,71.76,clear sky,44.1536,21.0817,Maksina hacijenda
380,Kontagora,NG,89.96,broken clouds,10.3999,5.4695,Queens Guest Inn
382,Auki,SB,76.77,scattered clouds,-8.7676,160.7034,Auki Motel
385,Mitsamiouli,KM,78.51,few clouds,-11.3847,43.2844,Foyer ADM
393,Adjumani,UG,71.35,light rain,3.3779,31.7909,Hotel Zawadi
395,Koutsouras,GR,82.11,clear sky,35.0339,25.9469,The White Houses
400,Amahai,ID,77.5,light rain,-3.3333,128.9167,HOTEL ISABELA
401,Daye,CN,74.28,scattered clouds,30.0833,114.95,丽江花马驿精品客栈
403,Gat,IL,79.79,clear sky,31.61,34.7642,OlusHome
407,San Jose,US,78.82,clear sky,37.3394,-121.895,The Westin San Jose
411,Sao Raimundo Das Mangabeiras,BR,88.41,few clouds,-7.0219,-45.4811,Hotel Tropical
414,San Luis Potosi,MX,71.02,overcast clouds,22.5,-100.5,
415,Gambela,ET,76.17,light rain,8.25,34.5833,Solomon Debebe Hotel
419,Ahuimanu,US,76.35,few clouds,21.4447,-157.8378,Paradise Bay Resort
420,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
422,Siloam Springs,US,87.91,clear sky,36.1881,-94.5405,Cherokee Hotel & Casino West Siloam Springs
425,Urozhaynoye,RU,75.31,broken clouds,44.7883,44.9228,
428,Sibu,MY,77.31,few clouds,2.3,111.8167,RH HOTEL (4 Star)
430,Nantucket,US,75.34,clear sky,41.2835,-70.0995,Jared Coffin House
431,Matagami,CA,71.71,clear sky,49.7502,-77.6328,Motel Le Caribou
432,Samarai,PG,80.91,scattered clouds,-10.6167,150.6667,Nuli Sapi
437,West Bay,KY,87.87,scattered clouds,19.3667,-81.4167,Calypso Cove
439,Esmeraldas,BR,75.31,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
440,Mazatlan,MX,87.03,clear sky,23.2167,-106.4167,Hotel La Siesta
444,Tual,ID,82.15,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
445,Petersburg,US,88.32,moderate rain,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
446,Atherton,GB,70.99,overcast clouds,53.5237,-2.4935,The Mercury Motel
448,Sombor,RS,75.11,broken clouds,45.7742,19.1122,Garni Hotel Andrić
450,Isla Vista,US,80.29,few clouds,34.4133,-119.861,Best Western Plus South Coast Inn
454,Matara,LK,79.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
457,Mazara Del Vallo,IT,87.93,clear sky,37.6641,12.588,Vizier Resort & Spa
458,Lorengau,PG,80.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
460,Karratha,AU,73.74,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
464,Grand Gaube,MU,73.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
468,Axim,GH,80.82,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
469,Hovd,MN,74.88,broken clouds,48.0056,91.6419,Hotel Khovd
471,Luba,GQ,84.09,light rain,3.4568,8.5547,
472,Pangkalanbuun,ID,74.52,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
474,Salinopolis,BR,84.4,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
475,Piacabucu,BR,80.71,few clouds,-10.4056,-36.4344,Piaçabuçu News
476,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
477,Sale,MA,75.88,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
478,Alyangula,AU,71.69,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
482,Nahrin,AF,78.73,clear sky,36.0649,69.1334,
